mse
0.0
33911113.84906354
27552674.81430501
22402339.1961506
18230567.345445532
14851432.14637442
12114332.635126822
9897282.031016268
8101471.041686718
6646864.140329786
5468632.550230668
4514264.962250382
3741227.215986351
3115066.6415124875
2607876.576188656
2197052.6232763533
1864285.221417388
1594743.625911627
1376414.9335519595
1199568.6927406287
1056323.2376834513
940294.4190871374
846311.0760241231
770184.5681430815
708522.096759438
658575.4949386867
618118.7474638784
585348.7820092833
558805.1099910612
537304.7356563015
519889.43244514643
505783.0368441106
494356.8564072715
485101.6502534319
477604.933268822
471532.5925112877
466613.9964976849
462629.93372666667
459402.84288214194
456788.8992980768
454671.6049949841
452956.59660947905
451567.43981722
450442.22281549015
449530.7970440889
448792.542169254
448194.5557206377
447710.18669725844
447317.84778832126
447000.0532720823
446742.6397139285
446534.13473182404
446365.24569631944
446228.44557756075
446117.6374813661
446027.88292344875
445955.1817315353
445896.29376608535
445848.59451407107
445809.9581199396
445778.66264069313
445753.3133025034
445732.78033856954
445716.1486377834
445702.67696014635
445691.7649012606
445682.9261335631
445675.76673172787
445669.9676162417
445665.2703326976
445661.46553302696
445658.38364529394
445655.88731623004
445653.8652896883
445652.22744818946
445650.9007965754
445649.82620876795
445648.955792644
445648.2507555838
445647.67967556464
445647.2171007493
445646.84241514886
445646.5389198127
445646.2930885901
445646.09396529995
445645.93267543515
445645.8020306442
445645.6962083638
445645.6104923167
445645.5410623184
445645.48482401995
445645.4392709982
445645.40237305034
445645.3724857128
445645.3482769693
445645.3286678872
445645.3127845305
445645.2999190117
445645.28949794144
445645.2810568746
445645.27421961026
445645.26868142624
445645.26419549715
445645.2605618948
445645.25761867664
445645.25523467007
445645.25330362486
445645.25173947803
445645.2504725191
445645.24944628257
445645.24861503084
445645.24794171687
445645.2473963325
445645.24695457146
445645.2465967449
445645.24630690523
445645.2460721351
445645.24588197144
445645.2457279388
445645.2456031723
445645.2455021117
445645.2454202524
445645.2453539464
445645.2453002384
445645.24525673507
445645.2452214973
445645.24519295496
445645.24516983546
445645.2451511086
445645.24513594015
445645.2451236534
445645.24511370115
445645.2451056398
445645.24509911024
445645.24509382126
445645.24508953723
445645.24508606695
445645.24508325633
445645.24508097954
445645.24507913546
445645.2450776417
445645.2450764317
445645.2450754517
